المجموعة الرئيسية ,Main Category ,مجموعة الذكر Sub Category,مجموعة الذكر EN,الذكر بالعربي,EN,EN-letters,Count ,فضل الذكر AR,فضل الذكر EN,تخريج الحديث,تخريج الحديث EN
أذكار الصباح,Morning Zikr,أذكار الصباح ,,"بِسْمِ اللهِ الرَّحْمنِ الرَّحِيم
قُلْ هُوَ ٱللَّهُ أَحَدٌ، ٱللَّهُ ٱلصَّمَدُ، لَمْ يَلِدْ وَلَمْ يُولَدْ، وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ.","In the Name of Allah—the Most Compassionate, Most Merciful.
Say, ˹O Prophet,˺ “He is Allah—One ˹and Indivisible˺; Allah—the Sustainer ˹needed by all˺. He has never had offspring, nor was He born. And there is none comparable to Him.”","Bismillaahir Rahmaanir Raheem

 Qul hu’wallaa-hu ahad.
 Allah hus-samad.
 Lam yalid wa-lam yoou’lad.
 Wa lam’ya kul-lahu kufu’wan ahad",3,"(سورة الإخلاص والمعوذتين)
من قالها حين يصبح وحين يمسى كفته من كل شىء
",It will suffice you in all respects,"رواه أبو داوود وحسنه الألباني.
أبو داوود والترمذي","At-Trimidhi
Abu Dawood
Al-Albani"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,"بِسْمِ اللهِ الرَّحْمنِ الرَّحِيم
قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ، مِن شَرِّ مَا خَلَقَ، وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ، وَمِن شَرِّ ٱلنَّفَّٰثَٰتِ فِى ٱلْعُقَدِ، وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ.","In the Name of Allah—the Most Compassionate, Most Merciful.
 Say, ˹O Prophet,˺ “I seek refuge in the Lord of the daybreak
from the evil of whatever He has created, and from the evil of the night when it grows dark, and from the evil of those ˹witches casting spells by˺ blowing onto knots, and from the evil of an envier when they envy.","Bismillaahir Rahmaanir Raheem

 Qul a’uzoo-bi rabbil-falaq.
 Min sharri ma khalaq.
 Wa min sharri gha’siqin iza waqab.
 Wa min shar’rin naf’faa saati’fil uqad.
 Wa min shar’ri haa’sidin iza hasad.",3,"(سورة الإخلاص والمعوذتين)
من قالها حين يصبح وحين يمسى كفته من كل شىء
",It will suffice you in all respects,"رواه أبو داوود وحسنه الألباني.
أبو داوود والترمذي

","At-Trimidhi
Abu Dawood
Al-Albani"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,"بِسْمِ اللهِ الرَّحْمنِ الرَّحِيم
قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ، مَلِكِ ٱلنَّاسِ، إِلَٰهِ ٱلنَّاسِ، مِن شَرِّ ٱلْوَسْوَاسِ ٱلْخَنَّاسِ، ٱلَّذِى يُوَسْوِسُ فِى صُدُورِ ٱلنَّاسِ، مِنَ ٱلْجِنَّةِ وَٱلنَّاسِ.","In the Name of Allah—the Most Compassionate, Most Merciful.
Say, ˹O Prophet,˺ “I seek refuge in the Lord of humankind, the Master of humankind the God of humankind, from the evil of the lurking whisperer- who whispers into the hearts of humankind-from among jinn and humankind.","Bismillaahir Rahmaanir Raheem

 Qul a’uzu-bi rab’binn naas.
 Malik’inn naas.
 Ilaa hin’naas.
 Min shar’ril waas-wa-asil khan’naas.
Al lazee yu’was wi’su fee sudoo-rin naas.
 Minal jin’nati wan naas.",3,"""(سورة الإخلاص والمعوذتين)
من قالها حين يصبح وحين يمسى كفته من كل شىء
""",It will suffice you in all respects,"رواه أبو داوود وحسنه الألباني.
أبو داوود والترمذي

","At-Trimidhi
Abu Dawood
Al-Albani"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,أَصْـبَحْنا وَأَصْـبَحَ المُـلْكُ لله وَالحَمدُ لله، لا إلهَ إلاّ اللّهُ وَحدَهُ لا شَريكَ لهُ، لهُ المُـلكُ ولهُ الحَمْـد، وهُوَ على كلّ شَيءٍ قدير ، رَبِّ أسْـأَلُـكَ خَـيرَ ما في هـذا اليوم وَخَـيرَ ما بَعْـدَه ، وَأَعـوذُ بِكَ مِنْ شَـرِّ ما في هـذا اليوم وَشَرِّ ما بَعْـدَه، رَبِّ أَعـوذُبِكَ مِنَ الْكَسَـلِ وَسـوءِ الْكِـبَر ، رَبِّ أَعـوذُ بِكَ مِنْ عَـذابٍ في النّـارِ وَعَـذابٍ في القَـبْر.,"We have entered a new day and with it all dominion is Allah's. Praise is to Allah.
None has the right to be worshipped but Allah alone, Who has no partner.
To Allah belongs the dominion, and to Him is the praise and He is Able to do all things.
My Lord, I ask You for the goodness of this day and of the days that come after it,
and I seek refuge in You from the evil of this day and of the days that come after it.2
My Lord, I seek refuge in You from laziness and helpless old age.
My Lord, I seek refuge in You from the punishment of Hell-fire, and from the punishment of the grave","Asbahna wa-asbahal mulku lillah;
Wal-hamdu lillah;
La ilaha illal-lah;
Wah-da’hoo la-sharee kalah;
Lahul-mulku wa’lahul-hamd;
Yuh-ee wa yu’meeto wa’huwa ala kulli shayin qadeer;
Rabbi ass-aaluka khay’ra mafee haa-zaal yaw’m;
Wa-khayra ma ba’daha;
Wa- aa’ozu-bika min sharri ma fee haa-zaal yaw’m;
Wa sharri ma ba’daha;
Rabbi aa’ozu-bika minal-kasali, wa-soo-il kibar;
Rabbi aa’ozubika min aa’zaa-bin fin’nari wa aa’zaa-bin fil’qabr.",1,"
كان التبي صلى الله عليه وسلم يقول هذا الدعاء إذا أصبح وإذا أمسى ",When it was evening and morning the Prophet ﷺ used to supplicate this Dua,"
صحيح مسلم والترمذي",Sahih Muslim  At-Trimidhi
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهـمَّ أَنْتَ رَبِّـي لا إلهَ إلاّ أَنْتَ ، خَلَقْتَنـي وَأَنا عَبْـدُك ، وَأَنا عَلـى عَهْـدِكَ وَوَعْـدِكَ ما اسْتَـطَعْـت ، أَعـوذُبِكَ مِنْ شَـرِّ ما صَنَـعْت ، أَبـوءُ لَـكَ بِنِعْـمَتِـكَ عَلَـيَّ وَأَبـوءُ بِذَنْـبي فَاغْفـِرْ لي فَإِنَّـهُ لا يَغْـفِرُ الذُّنـوبَ إِلاّ أَنْتَ .,"O Allah, You are my Lord, there is no one worthy of worship except You, You created me and I favor am Your true slave and I abide to Your covenant and promise as best as I  can, I take refuge in You from the evil of which I have committed. I acknowledge Your favor upon me and I acknowledge my sin, so forgive me, for verily none can forgive sin except You.","Allahumma anta rab’bee la ilaha illa anta Khalaq-tanee;
Wa’ana aab’duk;
Wa’ana ala aah’dika wa-wa’dika mas’ta-taat;
Aa’ozu-bika min sharri ma’sanath;
Aa’boo’u laka bini’matika aalai’yaa;
Wa’aboo’u bi-zan’bee;
Fagh’fir lee;
Fa-inna’hu la yagh’firuz zunu’ba illa ant.",1,من قالها من النهار موقنا بها، فمات من يومه قبل أن يمسي، فهو من أهل الجنة، ومن قالها من الليل وهو موقن بها فمات قبل أن يصبح، فهو من أهل الجنة.,"He who supplicates in these terms during the day with a firm belief in it and dies on the same day (before the evening), he will be one of the dwellers of Jannah; and if anyone supplicates in these terms during the night with a firm belief in it and dies before the morning, he will be one of the dwellers of Jannah.","

البخاري 
 ",Al Bukhari 
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,رَضيـتُ بِاللهِ رَبَّـاً وَبِالإسْلامِ ديـناً وَبِمُحَـمَّدٍ صلى الله عليه وسلم نَبِيّـاً.,"I am pleased with Allah as Lord, with Islam as the religion, and with Muhammad as the Prophet.","Radeetu billahi Rabbah;
Wa’bil-islami dee’nah;
Wa’bee Muhammadin sal-lallahu alai’hi wa’sallama nabiy’ya wa rasulaah.",3,من قالها حين يصبح وحين يمسى كان حقا على الله أن يرضيه يوم القيامة.  ,Allah has promised that whoever recites this dua three times in the morning and evening will be pleased on the Day of Resurrection,"
إمام أحمد 
النسائي","Imam Ahmed, An-Nasai"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهُـمَّ إِنِّـي أَصْبَـحْتُ أُشْـهِدُك ، وَأُشْـهِدُ حَمَلَـةَ عَـرْشِـك ، وَمَلَائِكَتَكَ ، وَجَمـيعَ خَلْـقِك ، أَنَّـكَ أَنْـتَ اللهُ لا إلهَ إلاّ أَنْـتَ وَحْـدَكَ لا شَريكَ لَـك ، وَأَنَّ ُ مُحَمّـداً عَبْـدُكَ وَرَسـولُـك.,"O Allah, verily I have reached the morning and call on You, the bearers of Your throne, Your angels, and all of Your creation to witness that You are Allah, none has the right to be worshipped except You, alone, without partner and that Muhammad ﷺ is Your servant and Messenger.","Allahumma innee asbah’at;
Osh’hiduka wa-oshhidu hamalata aar’shik;
Wa’malaa ika’tak;
Wa-jamee’aa khalqik;
Ann’naka antal-lahu;
La ilaha illa ant;
Wah’daka laa sharee kalak;
Wa’anna Muhammadan aabdu’ka wa’rasooluk.",4,"من قالها أَعْتَقَ اللَّهُ رُبْعَهُ مِنَ النَّارِ ومَنْ قَالَهَا مَرَّتَيْنِ أَعْتَقَ اللَّهُ نِصْفَهُ وَمَنْ قَالَهَا ثَلاَثًا أَعْتَقَ اللَّهُ ثَلاَثَةَ أَرْبَاعِهِ فَإِنْ قَالَهَا أَرْبَعًا أَعْتَقَهُ اللَّهُ مِنَ النَّارِ 
","If anyone says this Dua in the morning or in the evening Allah will emancipate his fourth from hell, if anyone says twice Allah will emancipate his half, if anyone says it thrice, Allah will emancipate three-fourth and if he says four times, Allah will emancipate him from hell”.","
أبو داوود

",Abu Dawood
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهُـمَّ ما أَصْبَـَحَ بي مِـنْ نِعْـمَةٍ أَو بِأَحَـدٍ مِـنْ خَلْـقِك ، فَمِـنْكَ وَحْـدَكَ لا شريكَ لَـك ، فَلَـكَ الْحَمْـدُ وَلَـكَ الشُّكْـر.,"O Allah, what blessing I or any of Your creation have risen upon, is from You alone, without partner, so for You is all praise and unto You all thanks.","Allahumma ma asbahah bee’min nia’mah;
Aw’bee a’haa-deem min khal’qik;
Fa’minka wah-dhaka la-sharee kalak;
Fa-lakal hamdu wa-lakash shukr.",1,"."" من قالها حين يصبح أدى شكر يومه. وقال الله تعالى ""لَئِن شَكَرْتُمْ لَأَزِيدَنَّكُمْ ۖ  
","Whoever recites this in the morning has indeed offered his day’s thanks. Allah says in the Quran  “Indeed if you are grateful and give thanks, surely, definitely I will increase you"" ","
سنن أبي داوود",Sunan Abi Dawud
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,حَسْبِـيَ اللّهُ لا إلهَ إلاّ هُوَ عَلَـيهِ تَوَكَّـلتُ وَهُوَ رَبُّ العَرْشِ العَظـيم.,"Allah is sufficient for me, none has the right to be worshipped except Him, upon Him I rely and He is Lord of the exalted throne.","Hasbi-yallahu la ilaha illa huwa aa’layhi tawak-kalth;
Wa’huwa rabbul aar’shil aa’zeem.",7," مَنْ قَالَها إِذَا أَصْبَحَ وَإِذَا أَمْسَى كَفَاهُ اللَّهُ مَا أَهَمَّهُ.
","Whoever says this Dua morning and evening, Allah will suffice him against all that concerns him","
أبو داوود

",Abu Dawood
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,بِسـمِ اللهِ الذي لا يَضُـرُّ مَعَ اسمِـهِ شَيءٌ في الأرْضِ وَلا في السّمـاءِ وَهـوَ السّمـيعُ العَلـيم.,"In the name of Allah with whose name nothing is harmed on earth nor in the heavens and He is The All-Seeing, The All-Knowing.","Bismillah hil’lazee la yadur’oo ma’aas-mihi shai-oon fil-ardi wa’laa fis-samaa;
Wa’hu’waas samee’ool aa’leem.",3,"من قالها لم يضره من الله شيء.
","Whoever recites this Dua, nothing will harm him","
الترمذي
الدعوات

","At-Trimidhi
Al-Da’waat "
